idd,chu_jinko,youchi_jinko,kumin_jinko
1,23.82977956,21.66069564,936.7701515
2,11.99122385,9.368143631,449.2961686
3,3.619117227,5.42867584,305.8154057
4,8.358114758,8.958851224,382.9532039
5,12.88804221,13.18473584,521.7118297
6,12.10838637,11.6768969,493.0632752
7,11.99122385,9.368143631,449.2961686
8,9.276334855,9.276334855,451.0617823
9,13.61122828,14.25189463,540.7518447
10,5.088980937,4.604943113,249.9555117
11,11.45699481,11.7158618,491.5508931
12,7.298970937,6.455772795,279.7910218
13,12.44277501,9.417670658,444.8568739
14,19.06163723,14.64226457,667.6881831
15,19.08580232,18.69875699,738.9072081
16,19.08580232,18.69875699,738.9072081
17,19.06163723,14.64226457,667.6881831
18,11.39913906,10.64431477,415.6644883
19,11.39913906,10.64431477,415.6644883
20,7.060994637,6.054599971,254.5241472
21,5.02742502,4.529568156,178.269907
22,1.354738891,0.885201421,50.57359596
23,6.744438507,5.143866861,238.4250485
24,5.44453681,4.484272577,197.4303988
25,3.191840027,6.372884399,158.2885659
26,8.560785445,16.46304893,364.8211644
27,4.353255155,8.255811944,191.809836
28,10.24908723,10.98116489,395.3219359
29,10.24908723,10.98116489,395.3219359
30,9.479345885,8.658116319,392.7180887
31,27.30669142,26.60899623,1000.952536
32,32.73198584,36.13515815,1091.736698
33,29.2914773,24.62881774,917.3056565
34,37.99119108,40.97243845,1139.074661
35,36.46106477,47.32950599,1111.226191
36,25.27786038,33.94582658,831.5152589
37,29.93639115,37.75108083,920.475532
38,30.3632849,40.54199833,954.5312728
39,31.23144101,33.71990279,990.4215773
40,27.74847302,33.73719673,894.128966
41,33.97059943,26.01338886,925.1903804
42,26.80896097,25.535797,852.8347053
43,13.54653653,15.21815185,547.8224653
44,29.67119096,30.73012431,901.5788462
45,19.75503999,19.19233031,614.2003017
46,28.81415623,26.33588977,834.5079266
47,32.53589482,42.03787337,1077.193435
48,29.06870489,29.68420576,1074.798702
49,23.56001852,25.40645312,827.4899586
50,27.28931617,28.24374958,1001.352182
51,21.97200495,21.38639782,798.3571921
52,10.37971551,16.72287499,496.4963919
53,21.69475059,20.95780293,836.1945409
54,0,0,0
55,8.361013707,13.43528702,395.7069477
56,16.60629261,18.93844782,615.7870094
57,18.83636831,22.31576246,739.8886747
58,23.22349345,30.56811254,861.9387637
59,9.101848617,11.00454219,467.3454874
60,11.38816536,16.11480082,529.4285625
61,13.54009964,11.65549147,401.0867308
62,9.741856101,8.628475258,315.0183462
63,6.342311904,10.14769905,294.9175035
64,4.243840465,6.361070938,218.8995403
65,9.077466275,12.72971132,432.7918161
66,2.145369025,2.57444283,142.8815771
67,6.792609078,8.250607842,272.1355331
68,11.60004013,15.89324241,534.9687003
69,12.16696763,12.83127354,514.9468285
70,16.14681752,21.74564447,697.3030476
71,15.4697847,17.56916554,664.5848555
72,17.34835752,22.08694991,773.390175
73,16.64518784,22.22030458,739.3224688
74,11.74201758,16.33798422,514.3370835
75,14.94090043,20.92583134,638.1555857
76,13.54009964,11.65549147,401.0867308
77,10.97709467,6.947047611,417.0919669
78,15.64035015,9.384210089,400.7839726
79,12.68313923,12.77987556,480.517597
80,12.90331935,14.73157717,566.2429337
81,11.99657323,13.36776659,537.4476458
82,6.313839186,4.509885133,433.3999612
83,6.313839186,4.509885133,433.3999612
84,13.69840211,17.57902721,572.0455782
85,15.69052819,18.88333255,718.8402589
86,21.8652914,19.24788853,716.8286767
87,16.67598043,16.95711446,632.4961993
88,24.36208415,20.50235054,696.7908317
89,26.02987406,23.77055824,705.850697
90,20.78857648,16.01129211,617.6431308
91,28.11617727,18.75568086,725.8836569
92,21.86898831,21.98430491,719.0967352
93,30.61200884,29.25732892,904.0234211
94,31.85752093,29.38100792,942.8740263
95,40.77762956,38.90885383,1231.227505
96,24.13689314,25.01509678,816.092508
97,19.25859348,22.19409253,691.6441469
98,26.74983467,26.56353729,861.5482413
99,20.41325672,18.41340025,652.5587894
100,43.3684475,38.32880707,1187.827449
101,30.24587886,27.44163258,945.5111871
102,20.57641368,20.69523156,713.9841966
103,35.39435387,31.32243705,912.7358157
104,24.10233858,23.14645223,775.1361344
105,18.45633094,19.05845983,706.3362938
106,15.32636791,15.84078346,496.1341647
107,9.3093448,13.9640172,462.9459591
108,10.47275181,14.47079798,434.5509154
109,19.09344174,19.3307414,661.723597
110,13.04199978,15.96118539,496.1005172
111,10.90694851,13.94883055,482.4572062
112,15.63710029,17.15282974,647.7336569
113,18.63707019,18.97575837,725.7594096
114,19.38434422,19.37714038,697.2737114
115,19.94450988,18.92950893,708.1748353
116,18.45633094,19.05845983,706.3362938
117,39.15431905,46.17059247,1030.011192
118,27.71228559,30.61601496,861.797942
119,36.17897514,43.2193899,1141.523914
120,33.17779976,35.59466667,1017.7379
121,28.48920732,25.28571448,905.7788561
122,25.47172253,23.38743632,893.0106839
123,25.47172253,23.38743632,893.0106839
124,28.48920732,25.28571448,905.7788561
125,31.66974223,27.42339309,970.6465516
126,31.09536326,25.74084471,899.9161674
127,30.68547001,27.16036025,968.3383409
128,32.57977724,27.19900475,977.2386262
129,33.33318287,32.04824681,1038.525503
130,33.22839341,29.36897431,1043.685146
131,36.17897514,43.2193899,1141.523914
132,37.60182041,38.34825914,1039.623604
133,26.61035857,24.89256329,831.9296912
134,37.68861393,32.43717833,1118.929968
135,25.39174354,24.01175748,754.5763788
136,35.9883877,32.63511831,1010.125612
137,39.40567129,36.58726879,1099.246086
138,40.73188131,41.38375287,1118.546587
139,45.44457328,39.40545043,1224.709615
140,42.28432969,46.4582106,1185.632442
141,41.77304015,39.69328756,1262.958136
142,45.84867172,47.08685019,1227.31298
143,44.63915514,44.03891083,1279.869625
144,31.34755945,32.54296943,1057.625519
145,27.01656357,25.18616522,857.7141287
146,23.021233,29.80502321,895.3046893
147,15.31616139,22.35195656,613.6322254
148,20.29520141,16.27572798,648.1188129
149,17.56800409,22.9433667,652.4434041
150,19.70669761,22.80080157,718.6923592
151,10.85541562,13.01805342,417.6431695
152,13.92523478,15.40717709,512.7942135
153,13.92523478,15.40717709,512.7942135
154,11.0703879,13.3150761,420.698151
155,10.87218527,11.74000047,394.0019716
156,12.85051919,8.939419884,367.3275802
157,8.754625265,9.3247083,348.8672368
158,17.43591364,16.65705429,668.0337817
159,23.82977956,21.66069564,936.7701515
160,16.15916023,16.77357148,554.2225415
161,23.98408465,22.5156713,851.1902695
162,13.12415293,8.519551862,368.6022155
163,12.871132,7.271415719,297.0782349
164,6.087671428,5.123799452,191.1510908
165,14.81211657,8.933914917,356.0944877
166,18.49038296,11.64527466,515.5540643
167,18.22880555,14.75655197,576.9650282
168,19.49288953,16.31065665,576.667377
169,12.81182675,9.404289889,381.1310246
170,10.96337849,13.05125664,381.8599325
171,0.145724865,4.86E-02,18.7985076
172,10.69681862,13.76431482,386.4489971
173,8.589792791,6.285718244,260.353519
174,6.087671428,5.123799452,191.1510908
175,6.087671428,5.123799452,191.1510908
176,0.145724865,4.86E-02,18.7985076
177,0.145724865,4.86E-02,18.7985076
178,4.421525428,6.454706179,210.8949092
179,1.354738891,0.885201421,50.57359596
180,2.668234355,2.985092613,92.97182124
181,0.507367317,1.327802131,55.02226667
182,2.326205037,5.375976164,108.3585499
183,7.781650156,9.438170249,380.6539917
184,13.1820627,11.87207288,515.8767822
185,6.713505114,6.366464526,277.4818132
186,12.02118628,13.40414336,497.7466864
187,2.326205037,5.375976164,108.3585499
188,6.559425709,9.657771791,306.94311
189,2.326205037,5.375976164,108.3585499
190,0.145724865,4.86E-02,18.7985076
191,0.145724865,4.86E-02,18.7985076
192,2.326205037,5.375976164,108.3585499
193,0.145724865,4.86E-02,18.7985076
194,10.36994175,8.261950933,329.2951846
195,20.33594627,31.52071672,1051.876821
196,20.33594627,31.52071672,1051.876821
197,15.52791265,19.435562,647.5648654
198,10.36994175,8.261950933,329.2951846
199,13.69194326,16.01487286,570.1557301
200,0.145724865,4.86E-02,18.7985076
201,4.353255155,8.255811944,191.809836
202,0.145724865,4.86E-02,18.7985076
203,9.680818861,16.0107802,478.498831
204,20.33594627,31.52071672,1051.876821
205,8.560785445,16.46304893,364.8211644
206,30.40108368,21.61222034,848.3158825
207,13.31072357,16.97495614,493.1665492
208,9.604358428,15.51473285,338.7383338
209,18.33487947,16.77916659,512.7282676
210,18.63287829,15.00896568,491.7077573
211,8.119635447,10.12494049,273.37656
212,22.58001414,20.26988589,619.9562242
213,23.61308706,21.73806158,743.9609868
214,19.33610021,19.08109763,549.6517516
215,15.32636791,15.84078346,496.1341647
216,8.119635447,10.12494049,273.37656
217,12.37285478,13.36810132,444.1510529
218,25.96010593,23.92087624,755.3686093
219,25.96010593,23.92087624,755.3686093
220,25.96010593,23.92087624,755.3686093
221,40.58263673,33.4307475,966.1782355
222,28.21383327,24.76974659,702.8934599
223,40.09538297,27.61849593,922.3989536
224,31.17159634,22.91569545,791.3690712
225,23.75064675,22.04595085,748.677772
226,18.70679473,18.46065269,638.246299
227,12.37285478,13.36810132,444.1510529
228,12.37285478,13.36810132,444.1510529
229,8.119635447,10.12494049,273.37656
230,6.038914834,8.275549958,250.0558068
231,12.37285478,13.36810132,444.1510529
232,26.08722361,23.14816618,617.5062134
233,29.15090016,27.12105176,896.0036234
234,15.57118558,17.0138691,474.4020927
235,28.76400439,26.37901443,909.4343747
236,17.0170887,18.43517943,647.5947645
237,25.5400873,22.64131777,1041.395263
238,23.47063433,21.19291187,939.362208
239,26.30818408,27.27399203,1263.471891
240,22.21368397,19.35271507,1020.585705
241,25.32905361,19.76213634,935.9721617
242,31.77082658,23.4601603,872.1681774
243,26.27257276,23.83859993,803.8935085
244,27.32816201,20.25081509,1002.864183
245,18.44283289,13.83212467,1264.256195
246,24.38553445,15.68567275,1068.050815
247,18.44283289,13.83212467,1264.256195
248,26.30818408,27.27399203,1263.471891
249,30.32823601,17.53922083,871.8454353
250,30.32823601,17.53922083,871.8454353
251,31.77082658,23.4601603,872.1681774
252,35.84289322,33.42228176,928.0575034
253,34.90980835,36.43945003,967.0647272
254,42.44727591,44.65166083,1086.679292
255,33.97672349,39.45661831,1006.071951
256,37.69319643,45.84502562,1036.574574
257,36.39729711,38.50582858,998.8650423
258,40.11279988,50.57610694,1099.922013
259,33.97672349,39.45661831,1006.071951
260,37.26804791,44.99776676,1043.977793
261,29.55056666,29.97491389,957.8611102
262,29.61271321,33.44435661,918.9730074
263,29.61271321,33.44435661,918.9730074
264,38.41406927,36.06218748,1188.484266
265,29.55056666,29.97491389,957.8611102
266,30.24085967,33.99492571,1263.07974
267,28.99616054,27.57872945,1052.427924
268,26.54420482,22.93828873,969.1199628
269,30.82726858,29.41222441,1044.382634
270,32.55109184,27.76952,935.5921648
271,36.7100186,40.1992113,1024.782603
272,32.57977724,27.19900475,977.2386262
273,40.03168098,44.12288322,1054.812991
274,18.10218563,10.93619714,498.6004913
275,18.10218563,10.93619714,498.6004913
