KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
12468,1,,和田町,,1843,1705,76,119.9,41.7,220947
124680010,2,,和田町,花園,130,115,15,125,40.6,16246
124680020,2,,和田町,柴,120,112,5,127.6,42.2,15314
124680030,2,,和田町,仁我浦,227,204,16,107,40.8,24297
124680040,2,,和田町,和田,125,119,6,106,40,13253
124680050,2,,和田町,和田,85,80,5,100.9,38.8,8580
124680060,2,,和田町,真浦,116,116,-,117,41.6,13570
124680070,2,,和田町,小川,107,104,1,136.3,44.1,14588
124680080,2,,和田町,黒岩,73,72,-,139.2,37.9,10158
124680090,2,,和田町,上三原,83,80,1,120.3,38.6,9986
124680100,2,,和田町,上三原,105,104,-,126.3,48.2,13259
124680110,2,,和田町,白渚,107,91,-,111.5,37.3,11925
124680120,2,,和田町,下三原,129,123,4,129.3,44.1,16682
124680130,2,,和田町,中三原,86,82,1,128.6,43.4,11059
124680140,2,,和田町,松田,139,106,13,109.3,39.6,15189
124680150,2,,和田町,海発,173,161,9,127.8,46.9,22113
124680160,2,,和田町,沼,38,36,-,124.4,40.1,4727
