KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
12405,1,,山武町,,6106,5674,330,112.3,36,685930
124050010,2,,山武町,埴谷,1181,1113,51,112.3,35,132660
124050020,2,,山武町,戸田,184,179,5,132.4,41.4,24353
124050030,2,,山武町,麻生新田,125,121,3,110.1,33.8,13767
124050040,2,,山武町,中津田,41,40,-,140.9,39,5776
124050050,2,,山武町,板川,97,94,2,127.7,41.7,12388
124050060,2,,山武町,板中新田,164,149,9,117.9,35.5,19340
124050070,2,,山武町,横田,613,550,53,108.2,33.2,66344
124050080,2,,山武町,実門,52,50,1,116.8,30.8,6073
124050090,2,,山武町,沖渡,299,268,26,107,33.8,32007
124050100,2,,山武町,大木,539,479,53,102,35.2,54975
124050110,2,,山武町,木原,1114,1021,58,106.8,35.9,118989
124050120,2,,山武町,椎崎,379,346,26,116.3,38,44061
124050130,2,,山武町,森,460,441,14,118.8,39.9,54665
124050140,2,,山武町,矢部,33,32,-,164.5,39.3,5429
124050150,2,,山武町,雨坪,95,85,10,110.7,35.3,10515
124050160,2,,山武町,武勝,45,42,3,125.5,36.7,5646
124050170,2,,山武町,下布田,40,40,-,134.6,41.7,5385
124050180,2,,山武町,植草,34,33,-,128,35.1,4353
124050190,2,,山武町,日向台,511,493,15,114.7,37.8,58592
124050200,2,,山武町,美杉野,100,98,1,106.1,30,10610
12405020001,3,,山武町,美杉野一丁目,100,98,1,106.1,30,10610
12405020002,3,,山武町,美杉野２丁目,-,-,-,-,-,-
12405020004,3,,山武町,美杉野４丁目,-,-,-,-,-,-
