KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
12225,1,,君津市,,31055,21077,5982,101.1,35.6,3138229
122250010,2,,君津市,君津,-,-,-,-,-,-
122250020,2,,君津市,三直,402,370,10,122.6,39.6,49303
122250030,2,,君津市,内蓑輪,214,93,26,76.4,28.6,16358
122250040,2,,君津市,内箕輪,248,153,75,89.9,33.9,22293
122250050,2,,君津市,八重原,333,67,30,70.4,23.3,23429
122250060,2,,君津市,法木作,27,27,-,163,44,4402
122250070,2,,君津市,法木作,182,108,69,87.1,32.9,15851
122250080,2,,君津市,外箕輪,41,41,-,145.9,38.3,5981
122250090,2,,君津市,外箕輪,1448,971,431,92,33.5,133258
12225009001,3,,君津市,外箕輪１丁目,507,367,117,95.8,33,48552
12225009002,3,,君津市,外箕輪２丁目,392,297,87,94.4,35.9,37018
12225009003,3,,君津市,外箕輪３丁目,155,84,67,83.4,32,12932
12225009004,3,,君津市,外箕輪４丁目,394,223,160,88.2,32.3,34755
122250100,2,,君津市,杢師,1308,712,380,86.3,31.4,112912
12225010001,3,,君津市,杢師１丁目,249,109,137,79.8,30.6,19868
12225010002,3,,君津市,杢師２丁目,235,161,69,99.1,34.1,23299
12225010003,3,,君津市,杢師３丁目,410,256,91,86.1,30.8,35302
12225010004,3,,君津市,杢師４丁目,414,186,83,83.2,30.8,34443
122250110,2,,君津市,南子安,35,33,2,132.4,45,4635
122250120,2,,君津市,南子安,3105,1812,847,89.9,31.8,279183
12225012001,3,,君津市,南子安１丁目,366,213,79,85.7,32,31351
12225012002,3,,君津市,南子安２丁目,252,170,77,98.8,34.7,24892
12225012003,3,,君津市,南子安３丁目,242,182,55,101.6,37.8,24576
12225012004,3,,君津市,南子安４丁目,620,377,163,90.3,31.9,56016
12225012005,3,,君津市,南子安５丁目,339,225,111,96.3,32.3,32635
12225012006,3,,君津市,南子安６丁目,610,252,128,77.6,26.3,47365
12225012007,3,,君津市,南子安７丁目,110,52,52,83.4,34.9,9178
12225012008,3,,君津市,南子安８丁目,356,236,89,98.5,35,35054
12225012009,3,,君津市,南子安９丁目,210,105,93,86.3,30.3,18116
122250130,2,,君津市,北子安,11,5,6,60.7,31.8,668
122250140,2,,君津市,北子安,2068,1140,589,85.5,32.9,176807
12225014001,3,,君津市,北子安１丁目,492,147,67,67.4,26.8,33147
12225014002,3,,君津市,北子安２丁目,398,251,124,93.7,35.4,37282
12225014003,3,,君津市,北子安３丁目,141,87,54,85,36.4,11983
12225014004,3,,君津市,北子安４丁目,365,246,113,93.7,36.8,34190
12225014005,3,,君津市,北子安５丁目,415,258,132,90.9,32.7,37708
12225014006,3,,君津市,北子安６丁目,257,151,99,87.5,33.1,22497
122250151,2,,君津市,君津台,791,711,55,111.3,37.8,88021
12225015101,3,,君津市,君津台１丁目,187,177,9,107,37.5,20014
12225015102,3,,君津市,君津台２丁目,239,203,24,103.1,37.5,24649
12225015103,3,,君津市,君津台３丁目,365,331,22,118.8,38.1,43357
122250152,2,,君津市,坂田,247,160,68,106.2,37.5,26219
122250160,2,,君津市,東坂田,367,228,110,78.6,34.3,28848
12225016001,3,,君津市,東坂田１丁目,193,188,1,89.8,35.7,17331
12225016002,3,,君津市,東坂田２丁目,21,2,8,47.7,40.1,1003
12225016003,3,,君津市,東坂田３丁目,68,15,48,62.1,35.5,4221
12225016004,3,,君津市,東坂田４丁目,85,23,53,74,29.7,6294
122250170,2,,君津市,西坂田,855,542,293,91.9,37,78609
12225017001,3,,君津市,西坂田１丁目,229,152,73,90.2,35.3,20645
12225017002,3,,君津市,西坂田２丁目,261,208,44,99.8,39.8,26050
12225017003,3,,君津市,西坂田３丁目,186,101,81,93.3,38.1,17345
12225017004,3,,君津市,西坂田４丁目,179,81,95,81.4,34,14569
122250180,2,,君津市,大和田,438,3,-,38.3,26.7,16780
122250190,2,,君津市,大和田,798,416,358,83.1,32.7,66293
12225019001,3,,君津市,大和田１丁目,221,102,117,81.1,34.5,17913
12225019002,3,,君津市,大和田２丁目,89,50,33,89.5,33.9,7962
12225019003,3,,君津市,大和田３丁目,190,94,89,76.7,28.5,14576
12225019004,3,,君津市,大和田４丁目,146,83,57,86.8,33.3,12669
12225019005,3,,君津市,大和田５丁目,152,87,62,86.7,34.4,13173
122250200,2,,君津市,人見,1419,390,232,69,28.4,97946
122250210,2,,君津市,人見,1233,854,357,97.7,35.1,120410
12225021001,3,,君津市,人見１丁目,224,145,74,102.4,34.4,22948
12225021002,3,,君津市,人見２丁目,422,303,115,97.9,35.1,41306
12225021003,3,,君津市,人見３丁目,376,240,127,91,34.4,34227
12225021004,3,,君津市,人見４丁目,118,96,19,107,37.3,12629
12225021005,3,,君津市,人見５丁目,93,70,22,100,37.5,9300
122250220,2,,君津市,中野,149,104,37,101.3,32.1,15100
122250230,2,@,君津市,中野,1776,968,714,84.1,33.6,149432
12225023001,3,,君津市,中野１丁目,267,134,114,82.7,35.1,22070
12225023002,3,,君津市,中野２丁目,478,241,222,83.8,33,40037
12225023003,3,,君津市,中野３丁目,243,122,97,84.1,31.3,20443
12225023004,3,,君津市,中野４丁目,151,65,77,86.4,37.4,13046
12225023005,3,,君津市,中野５丁目,393,242,129,78.4,32.6,30827
12225023006,3,@,君津市,中野６丁目,244,164,75,94.3,35.3,23010
122250240,2,*,君津市,久保,,,,,,
122250250,2,,君津市,久保,417,226,176,80.2,35.8,33459
12225025001,3,,君津市,久保１丁目,54,30,24,92.7,39.7,5003
12225025002,3,,君津市,久保２丁目,99,69,28,69.9,34.3,6922
12225025003,3,,君津市,久保３丁目,148,74,68,79.2,35.6,11720
12225025004,3,@,君津市,久保４丁目,116,53,56,84.6,35.3,9813
12225025005,3,*,君津市,久保５丁目,,,,,,
122250260,2,,君津市,北久保,145,69,72,76.6,35.9,11107
12225026001,3,,君津市,北久保１丁目,77,26,49,66.1,32.6,5090
12225026002,3,,君津市,北久保２丁目,68,43,23,88.5,39.3,6018
122250270,2,,君津市,南久保,729,447,262,89.4,34.8,65147
12225027001,3,,君津市,南久保１丁目,219,110,105,84.2,33.7,18441
12225027002,3,,君津市,南久保２丁目,256,159,89,92.8,36.2,23753
12225027003,3,,君津市,南久保３丁目,254,178,68,90.4,34.4,22953
122250280,2,,君津市,陽光台,521,430,81,106.6,41.3,55516
12225028001,3,,君津市,陽光台１丁目,308,255,48,105.8,40.5,32594
12225028002,3,,君津市,陽光台２丁目,130,99,31,97.2,38.9,12631
12225028003,3,,君津市,陽光台３丁目,83,76,2,124,48.3,10292
122250290,2,,君津市,高坂,58,50,7,121.4,47.6,7042
122250300,2,,君津市,台,185,146,36,99.1,38.7,18335
12225030001,3,,君津市,台１丁目,102,78,23,88.2,35.2,9001
12225030002,3,,君津市,台２丁目,83,68,13,112.5,42.8,9334
122250310,2,,君津市,宮下,23,23,-,156.2,40.8,3593
122250320,2,,君津市,宮下,474,295,10,85.5,30.2,40529
12225032001,3,,君津市,宮下１丁目,164,155,2,103,35.6,16884
12225032002,3,,君津市,宮下２丁目,310,140,8,76.3,27.3,23645
122250330,2,,君津市,小山野,55,54,-,161.8,39,8897
122250341,2,,君津市,常代,874,445,88,88.2,32.1,77113
12225034101,3,,君津市,常代１丁目,127,111,6,122.1,37.7,15512
12225034102,3,,君津市,常代２丁目,120,98,17,115.8,36.5,13898
12225034103,3,,君津市,常代３丁目,358,44,33,51.8,24.5,18547
12225034104,3,,君津市,常代４丁目,135,84,13,101.2,32.2,13666
12225034105,3,,君津市,常代５丁目,67,43,17,107.6,34.8,7212
12225034106,3,,君津市,常代６丁目,67,65,2,123.6,38,8279
122250342,2,,君津市,常代,86,71,11,131.3,44.4,11288
122250350,2,,君津市,浜子,18,18,-,152.5,44.3,2745
122250360,2,,君津市,六手,121,103,16,138.1,40.3,16707
122250370,2,,君津市,皿引,24,23,-,132.3,46.7,3176
122250380,2,,君津市,尾車,46,43,-,130.8,35.6,6015
122250390,2,,君津市,草牛,19,19,-,161.1,43.7,3060
122250400,2,,君津市,馬登,47,45,-,133.3,43.8,6264
122250410,2,,君津市,大山野,73,72,-,145.8,40.2,10642
122250420,2,,君津市,作木,14,14,-,146.2,40.1,2046
122250430,2,,君津市,山高原,15,15,-,151.4,52.8,2271
122250440,2,,君津市,貞元,182,142,32,117.7,38.8,21428
122250450,2,,君津市,八幡,35,35,-,165.7,46,5799
122250460,2,,君津市,新御堂,20,19,1,153.9,47.4,3078
122250470,2,,君津市,杉谷,28,15,13,112.1,36.5,3140
122250481,2,,君津市,郡,196,162,26,113.1,35.3,22169
12225048101,3,,君津市,郡１丁目,139,108,26,108.2,34.7,15035
12225048102,3,,君津市,郡２丁目,25,23,-,119.3,37.8,2983
12225048103,3,,君津市,郡３丁目,32,31,-,129.7,35.8,4151
122250482,2,,君津市,郡,60,53,2,142.1,41.8,8524
122250490,2,,君津市,小香,16,15,1,143.9,43.4,2302
122250500,2,,君津市,上湯江,337,123,53,83.3,35.5,28073
122250510,2,,君津市,下湯江,153,106,41,110.4,38.8,16889
122250520,2,,君津市,中富,337,259,74,103,36.2,34707
122250530,2,,君津市,中島,675,634,11,117.1,39.6,79051
122250540,2,,君津市,白駒,132,115,12,114.4,35.2,15098
122250550,2,,君津市,泉,700,661,25,114.3,37.1,79985
122250560,2,,君津市,上,134,129,3,129.6,38.6,17370
122250570,2,,君津市,練木,44,42,1,127.1,32.5,5594
122250580,2,,君津市,大鷲,31,30,1,162.1,48.8,5026
122250590,2,,君津市,大井,49,47,-,149.1,37.8,7304
122250600,2,,君津市,糠田,252,243,-,120.1,37.8,30260
122250610,2,,君津市,大井戸,198,192,2,127.8,36.9,25306
