KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
11342,1,,嵐山町,,6300,5096,1022,106.3,36,669766
113420010,2,,嵐山町,大字菅谷,1224,936,251,101.9,35.3,124752
11342001001,3,,嵐山町,大字菅谷,101,84,14,106.4,36.1,10750
11342001002,3,,嵐山町,大字菅谷,199,134,59,94.9,32,18883
11342001003,3,,嵐山町,大字菅谷,76,43,19,80.5,38,6120
11342001004,3,,嵐山町,大字菅谷,84,65,17,117.5,40.3,9868
11342001005,3,,嵐山町,大字菅谷,77,54,22,109.7,39.9,8450
11342001006,3,,嵐山町,大字菅谷,70,53,16,120.3,37.2,8418
11342001007,3,,嵐山町,大字菅谷,232,194,34,102.2,34.9,23713
11342001008,3,,嵐山町,大字菅谷,226,180,44,97.3,33.4,21998
11342001009,3,,嵐山町,大字菅谷,159,129,26,104.1,36,16553
113420020,2,,嵐山町,大字川島,918,666,233,84.4,31.5,77453
113420030,2,,嵐山町,大字志賀,1091,971,100,106.6,38.2,116274
11342003011,3,,嵐山町,大字志賀,287,235,41,118.2,36.8,33921
11342003012,3,,嵐山町,大字志賀,804,736,59,102.4,38.8,82353
113420040,2,,嵐山町,大字平沢,389,338,47,105.5,35.8,41048
11342004014,3,,嵐山町,大字平沢,223,178,42,105,35,23415
11342004015,3,,嵐山町,大字平沢,166,160,5,106.2,36.8,17633
113420050,2,,嵐山町,大字遠山,33,33,-,151.8,44.3,5010
113420060,2,,嵐山町,大字千手堂,248,231,13,113.8,35.6,28229
11342006018,3,,嵐山町,大字千手堂,88,86,1,137.7,39.6,12118
11342006019,3,,嵐山町,大字千手堂,160,145,12,100.7,33.1,16111
113420070,2,,嵐山町,大字鎌形,225,224,-,137.8,37.6,31008
113420080,2,,嵐山町,大字大蔵,155,152,3,133.5,37.8,20687
113420090,2,,嵐山町,大字根岸,25,25,-,135.1,45,3378
113420100,2,,嵐山町,大字将軍沢,52,52,-,132.7,41.6,6899
113420110,2,,嵐山町,大字古里,172,154,2,140.6,40.4,24183
11342011024,3,,嵐山町,大字古里,101,98,1,141.9,40.7,14334
11342011025,3,,嵐山町,大字古里,57,56,1,141.4,38.7,8058
11342011034,3,@,嵐山町,大字古里,14,-,-,128,47.2,1792
11342011035,3,*,嵐山町,大字古里,,,,,,
113420120,2,,嵐山町,大字吉田,185,181,3,137.8,39.2,25491
11342012026,3,,嵐山町,大字吉田,106,102,3,137.5,37.9,14580
11342012027,3,,嵐山町,大字吉田,79,79,-,138.1,41,10911
113420130,2,,嵐山町,大字越畑,125,123,-,149.8,41.1,18727
11342013028,3,,嵐山町,大字越畑,91,89,-,151.2,42.1,13759
11342013029,3,,嵐山町,大字越畑,34,34,-,146.1,38.5,4968
113420140,2,,嵐山町,大字勝田,60,59,-,153.9,47.6,9236
113420150,2,,嵐山町,大字広野,257,250,5,121,38.5,31101
113420160,2,,嵐山町,大字杉山,101,100,1,150.7,42.3,15219
113420170,2,,嵐山町,大字太郎丸,50,49,1,129,42.4,6452
113420180,2,,嵐山町,大字むさし台,706,379,286,82.6,31.9,58325
11342018001,3,,嵐山町,大字むさし台１丁目,277,144,120,84.2,32.6,23322
11342018002,3,,嵐山町,大字むさし台２丁目,214,119,75,84.5,32.4,18092
11342018003,3,,嵐山町,大字むさし台３丁目,215,116,91,78.7,30.5,16911
113420190,2,,嵐山町,平沢土地区画整理区域内,284,173,77,92.6,31,26296
