KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
11445,1,,白岡町,,15924,13281,2246,102.8,34.3,1637593
114450010,2,,白岡町,大字岡泉,279,272,3,116.1,34.8,32402
114450020,2,,白岡町,大字実ヶ谷,275,266,7,121.2,37.7,33333
114450030,2,,白岡町,大字千駄野,628,417,204,96,32.8,60307
114450040,2,,白岡町,大字小久喜,3817,2970,774,91.3,33,348374
11445004001,3,,白岡町,大字小久喜,970,713,235,102,37.1,98905
11445004002,3,,白岡町,大字小久喜,2847,2257,539,87.6,31.6,249469
114450050,2,,白岡町,大字上野田,902,861,32,111.5,37.1,100559
114450060,2,,白岡町,大字上野田,432,408,11,109.8,33.9,47428
114450070,2,,白岡町,大字上野田,338,328,5,114.2,34.3,38595
114450080,2,,白岡町,大字太田新井,461,448,3,114.5,35,52776
114450090,2,,白岡町,大字彦兵衛,197,187,9,99.5,31.7,19609
114450100,2,,白岡町,大字篠津,1098,928,153,108.9,36.1,119523
114450110,2,,白岡町,大字篠津,456,323,128,113.9,38.2,51927
114450120,2,,白岡町,大字高岩,830,698,125,107.3,34.9,89083
114450130,2,,白岡町,新白岡,180,176,2,128.7,39.7,23166
114450140,2,,白岡町,新白岡,463,445,11,117.5,37.1,54399
114450150,2,,白岡町,新白岡,824,794,17,110.3,34.3,90882
114450160,2,,白岡町,大字篠津,117,110,5,121.9,37.9,14263
114450171,2,,白岡町,白岡東,224,172,48,108,37.9,24203
114450172,2,,白岡町,大字白岡,1776,1351,371,97.6,34.7,173282
114450180,2,,白岡町,西,143,80,58,80.7,31.3,11546
114450190,2,,白岡町,西,273,209,11,93.8,29.3,25602
114450200,2,,白岡町,西,200,174,24,99.1,32.5,19822
114450210,2,,白岡町,西,212,131,74,84.9,29.9,17992
114450220,2,,白岡町,西,237,203,29,96.1,32,22785
114450230,2,,白岡町,西,141,101,22,92.4,29.4,13026
114450240,2,,白岡町,西,229,207,15,91.9,31.8,21052
114450250,2,,白岡町,西,255,209,42,96.9,30.7,24717
114450260,2,,白岡町,西,182,138,40,89.1,29.5,16222
114450270,2,,白岡町,西,254,230,20,94.4,31.9,23969
114450280,2,,白岡町,大字柴山,184,182,2,139.8,39.3,25728
114450290,2,,白岡町,大字荒井新田,64,64,-,155.1,37.3,9924
114450300,2,,白岡町,大字下大崎,253,199,1,122.9,34.7,31099
