KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
13104,1,,新宿区,,165884,59050,85838,52.4,29.6,8692509
131040010,2,,新宿区,四谷,2130,724,1310,56.7,32.5,120826
13104001001,3,,新宿区,四谷１丁目,215,139,62,95.1,41.7,20450
13104001002,3,,新宿区,四谷２丁目,140,70,58,77.7,34.6,10877
13104001003,3,,新宿区,四谷３丁目,233,106,108,59.5,34.8,13864
13104001004,3,,新宿区,四谷４丁目,1542,409,1082,49,30,75634
131040020,2,,新宿区,本塩町,267,118,89,65.3,31.3,17430
131040030,2,,新宿区,三栄町,783,342,357,64.4,32.7,50455
131040040,2,,新宿区,坂町,1243,443,700,50.8,30.2,63115
131040050,2,,新宿区,若葉,2010,1046,848,63.4,32.8,127358
13104005001,3,,新宿区,若葉１丁目,1071,562,459,70.3,35.8,75332
13104005002,3,,新宿区,若葉２丁目,406,220,148,60,31.8,24374
13104005003,3,,新宿区,若葉３丁目,533,264,241,51.9,27.3,27652
131040060,2,,新宿区,須賀町,716,282,382,57.1,32,40866
131040070,2,,新宿区,左門町,909,404,433,54.9,34.8,49945
131040080,2,,新宿区,信濃町,486,164,226,73.3,35.5,35637
131040090,2,,新宿区,南元町,963,399,437,54.8,28.8,52737
131040100,2,,新宿区,荒木町,1163,416,696,52.1,32.7,60595
131040110,2,,新宿区,舟町,776,301,457,51.5,33.8,39945
131040120,2,,新宿区,愛住町,709,263,415,60.5,35.2,42928
131040130,2,,新宿区,大京町,1625,665,867,59.9,32.5,97408
131040140,2,,新宿区,霞ヶ丘町,282,-,-,37.5,19.4,10587
131040150,2,,新宿区,内藤町,413,247,135,74.9,37.6,30952
131040160,2,,新宿区,片町,228,87,132,46.9,31.2,10694
131040170,2,,新宿区,新宿,9802,3578,5386,49.3,29.8,483708
13104017001,3,,新宿区,新宿１丁目,2246,850,1234,47.4,30.8,106398
13104017002,3,,新宿区,新宿２丁目,684,304,348,53.4,34.3,36523
13104017003,3,,新宿区,新宿３丁目,55,41,9,70.8,43.7,3893
13104017004,3,,新宿区,新宿４丁目,136,56,66,53.1,31.3,7227
13104017005,3,,新宿区,新宿５丁目,1638,504,1055,44.1,28.9,72236
13104017006,3,,新宿区,新宿６丁目,1904,438,1155,46.7,28.5,88886
13104017007,3,,新宿区,新宿７丁目,3139,1385,1519,53.7,29.1,168545
131040180,2,,新宿区,歌舞伎町,1569,387,1098,39.7,28,62288
13104018001,3,,新宿区,歌舞伎町１丁目,115,44,65,40.5,25.3,4654
13104018002,3,,新宿区,歌舞伎町２丁目,1454,343,1033,39.6,28.2,57634
131040190,2,,新宿区,市谷田町,507,218,214,53.7,33.6,27219
13104019001,3,,新宿区,市谷田町１丁目,68,8,2,41.9,26.1,2847
13104019002,3,,新宿区,市谷田町２丁目,276,163,101,59.6,36.1,16446
13104019003,3,,新宿区,市谷田町３丁目,163,47,111,48.6,32.2,7926
131040200,2,,新宿区,市谷本村町,423,139,223,52.9,32.7,22379
131040210,2,,新宿区,市谷砂土原町,656,289,293,89.8,46.7,58909
13104021001,3,,新宿区,市谷砂土原町１丁目,106,68,30,111.3,44.2,11802
13104021002,3,,新宿区,市谷砂土原町２丁目,180,34,102,83.9,45.9,15103
13104021003,3,,新宿区,市谷砂土原町３丁目,370,187,161,86.5,48.1,32004
131040220,2,,新宿区,市谷左内町,242,122,93,71.4,36.7,17280
131040230,2,,新宿区,市谷加賀町,690,204,250,64,26.7,44184
13104023001,3,,新宿区,市谷加賀町１丁目,152,11,3,74.8,19.7,11370
13104023002,3,,新宿区,市谷加賀町２丁目,538,193,247,61,30.4,32814
131040240,2,,新宿区,市谷甲良町,323,213,91,71.5,39.2,23108
131040250,2,,新宿区,市谷船河原町,93,49,40,116.6,46.5,10842
131040260,2,,新宿区,市谷長延寺町,133,9,17,40,24.1,5319
131040270,2,,新宿区,市谷鷹匠町,42,14,8,91.8,35,3854
131040280,2,,新宿区,市谷山伏町,205,143,55,69.7,33,14290
131040290,2,,新宿区,市谷八幡町,57,32,19,75.6,34.5,4307
131040300,2,,新宿区,神楽坂,1308,696,538,61.1,33.7,79953
13104030001,3,,新宿区,神楽坂１丁目,14,11,-,102.1,31.8,1429
13104030002,3,,新宿区,神楽坂２丁目,94,60,28,67.6,33.8,6358
13104030003,3,,新宿区,神楽坂３丁目,284,81,194,54.3,35.7,15432
13104030004,3,,新宿区,神楽坂４丁目,78,45,26,74.8,39.1,5831
13104030005,3,,新宿区,神楽坂５丁目,368,298,59,70.5,36.7,25937
13104030006,3,,新宿区,神楽坂６丁目,470,201,231,53.1,29.2,24966
131040310,2,,新宿区,細工町,272,92,146,52.9,26.6,14397
131040320,2,,新宿区,二十騎町,314,172,115,67.2,34.5,21115
131040330,2,,新宿区,揚場町,36,25,6,109.2,46.3,3933
131040340,2,,新宿区,津久戸町,99,26,60,42.3,29.7,4185
131040350,2,,新宿区,東五軒町,851,455,336,54.6,29,46452
131040360,2,,新宿区,西五軒町,690,234,404,60.5,32.8,41752
131040370,2,,新宿区,赤城元町,184,66,91,57.1,31.3,10503
131040380,2,,新宿区,南榎町,611,344,195,72,34.6,44021
131040390,2,,新宿区,袋町,295,129,147,63.3,36.1,18669
131040400,2,,新宿区,払方町,408,131,201,67.6,34.5,27582
131040410,2,,新宿区,南町,253,129,110,78.7,38.9,19914
131040420,2,,新宿区,北町,431,288,126,66.5,33.6,28666
131040430,2,,新宿区,納戸町,474,225,226,62.8,31.3,29769
131040440,2,,新宿区,南山伏町,379,157,167,52.6,30.4,19954
131040450,2,,新宿区,北山伏町,209,61,115,51.8,29.2,10823
131040460,2,,新宿区,白銀町,686,559,117,64.6,35.5,44330
131040470,2,,新宿区,下宮比町,63,51,9,57.7,33.1,3637
131040480,2,,新宿区,矢来町,2088,808,1003,64.9,33,135591
131040490,2,,新宿区,若宮町,530,230,236,62.4,34.2,33053
131040500,2,,新宿区,岩戸町,256,71,177,44,30.3,11276
131040510,2,,新宿区,中町,196,109,75,88.8,41.2,17403
131040520,2,,新宿区,箪笥町,198,61,127,42.8,27.7,8465
131040530,2,,新宿区,横寺町,529,211,283,54.8,33.7,29012
131040540,2,,新宿区,筑土八幡町,316,145,116,65.9,31.4,20820
131040550,2,,新宿区,新小川町,1475,804,555,56,32,82593
131040560,2,,新宿区,神楽河岸,-,-,-,-,-,-
131040570,2,,新宿区,市谷薬王寺町,1642,508,917,49.4,29,81066
131040580,2,,新宿区,市谷柳町,538,197,276,45.5,27.4,24453
131040590,2,,新宿区,市谷仲之町,730,253,317,68.3,32.7,49845
131040600,2,,新宿区,赤城下町,719,341,302,55.9,31.4,40186
131040610,2,,新宿区,天神町,594,258,296,48.3,29.8,28695
131040620,2,,新宿区,榎町,371,125,226,46.9,28.5,17384
131040630,2,,新宿区,東榎町,182,59,113,42.3,26.4,7702
131040640,2,,新宿区,早稲田町,584,201,354,45,30.1,26290
131040650,2,,新宿区,早稲田南町,541,173,249,49.3,27.5,26656
131040660,2,,新宿区,馬場下町,294,135,144,51.1,28.6,15023
131040670,2,,新宿区,原町,2077,861,991,52.9,28.4,109853
13104067001,3,,新宿区,原町１丁目,694,332,285,53.9,28.6,37432
13104067002,3,,新宿区,原町２丁目,657,245,324,52.7,27.6,34651
13104067003,3,,新宿区,原町３丁目,726,284,382,52,29.1,37769
131040680,2,,新宿区,喜久井町,950,405,468,58.6,32.2,55715
131040690,2,,新宿区,築地町,260,64,187,48.2,26.7,12532
