KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
13102,1,,中央区,,54756,23559,20005,54.6,30.9,2988912
131020010,2,,中央区,八重洲,70,38,17,61.5,36.8,4307
13102001001,3,,中央区,八重洲１丁目,29,26,-,85.9,39.5,2490
13102001002,3,,中央区,八重洲２丁目,41,12,17,44.3,33.6,1817
131020020,2,,中央区,京橋,177,84,86,53.8,31.8,9527
13102002001,3,,中央区,京橋１丁目,83,28,54,43.8,34.6,3636
13102002002,3,,中央区,京橋２丁目,73,38,31,56.8,29.4,4148
13102002003,3,,中央区,京橋３丁目,21,18,1,83,32.3,1742
131020030,2,,中央区,銀座,1872,756,743,51.2,32.9,95785
13102003001,3,,中央区,銀座１丁目,711,236,229,59.2,32,42106
13102003002,3,,中央区,銀座２丁目,316,179,70,47.3,33.1,14933
13102003003,3,,中央区,銀座３丁目,253,102,136,45.7,33.2,11553
13102003004,3,,中央区,銀座４丁目,179,46,116,41.3,32.6,7396
13102003005,3,,中央区,銀座５丁目,9,7,1,61.5,30.7,553
13102003006,3,,中央区,銀座６丁目,10,7,-,52.5,32.8,525
13102003007,3,,中央区,銀座７丁目,176,116,48,53.7,38.6,9458
13102003008,3,,中央区,銀座８丁目,218,63,143,42.5,32.2,9262
131020040,2,,中央区,新富,763,406,308,58,34.4,44233
13102004001,3,,中央区,新富１丁目,516,270,207,54.5,32.7,28127
13102004002,3,,中央区,新富２丁目,247,136,101,65.2,37.9,16106
131020050,2,,中央区,入船,1354,432,817,46.7,31.2,63165
13102005001,3,,中央区,入船１丁目,505,172,269,45.5,29.6,22995
13102005002,3,,中央区,入船２丁目,498,105,368,43.3,31.9,21544
13102005003,3,,中央区,入船３丁目,351,155,180,53.1,32.5,18627
131020060,2,,中央区,湊,2052,1002,933,52.8,31.2,108403
13102006001,3,,中央区,湊１丁目,477,267,184,55.1,29.8,26260
13102006002,3,,中央区,湊２丁目,531,169,315,51.2,29.9,27174
13102006003,3,,中央区,湊３丁目,1044,566,434,52.7,32.5,54969
