KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
13209,1,,町田市,,161583,88494,42872,77.9,31.7,12585525
132090010,2,,町田市,相原町,5987,3443,1498,80.4,31.3,481071
13209001090,3,,町田市,相原町,5705,3273,1387,80.2,31.3,457446
13209001091,3,,町田市,相原町,282,170,111,83.8,33.2,23624
132090020,2,,町田市,旭町,2106,1085,889,72.5,31.8,152721
13209002001,3,,町田市,旭町１丁目,867,306,520,63.1,30.8,54720
13209002002,3,,町田市,旭町２丁目,502,240,218,69.6,31.1,34947
13209002003,3,,町田市,旭町３丁目,737,539,151,85.6,33.1,63055
132090030,2,,町田市,大蔵町,3502,1832,1554,73,31,255735
132090040,2,,町田市,小川,4813,2948,1668,80.4,30.4,387060
13209004000,3,,町田市,小川,1632,1101,423,76,28.1,123969
13209004001,3,,町田市,小川１丁目,1035,689,331,85,32,87950
13209004002,3,,町田市,小川２丁目,1153,524,573,78.1,30.4,90043
13209004003,3,,町田市,小川３丁目,437,294,133,85.6,31.5,37395
13209004004,3,,町田市,小川４丁目,556,340,208,85.8,33.2,47704
132090050,2,,町田市,小野路町,1310,783,492,84.3,34,110461
132090060,2,,町田市,小山田桜台,1529,1101,12,87.5,28.4,133760
13209006001,3,,町田市,小山田桜台１丁目,728,594,6,89.3,28.9,65045
13209006002,3,,町田市,小山田桜台２丁目,801,507,6,85.8,27.9,68715
132090070,2,,町田市,小山町,5383,3721,1524,84.3,31.7,454034
13209007000,3,,町田市,小山町,5125,3497,1492,83.3,31.6,427111
13209007091,3,,町田市,小山町,258,224,32,104.4,33.2,26923
132090081,2,,町田市,金井,2614,1998,552,98.1,33.8,256498
13209008101,3,,町田市,金井１丁目,597,504,78,95.2,33.1,56816
13209008104,3,,町田市,金井４丁目,272,181,87,95,33.8,25840
13209008105,3,,町田市,金井５丁目,346,209,126,90.3,33.6,31245
13209008106,3,,町田市,金井６丁目,646,574,56,111.9,36.1,72270
13209008107,3,,町田市,金井７丁目,261,162,95,93.1,31.9,24311
13209008108,3,,町田市,金井８丁目,492,368,110,93.5,32.3,46016
132090082,2,,町田市,金井,995,742,227,109.9,36.6,109369
13209008202,3,,町田市,金井２丁目,479,320,144,98.9,33.6,47374
13209008203,3,,町田市,金井３丁目,516,422,83,120.1,39.2,61995
132090083,2,,町田市,金井町,3290,1735,750,79,32.1,259933
132090090,2,,町田市,金森,7865,4077,1748,78.3,31.2,615604
13209009001,3,,町田市,金森１丁目,936,374,314,71.2,32.5,66666
13209009090,3,,町田市,金森,5934,3343,1223,80.7,31.2,479024
13209009091,3,,町田市,金森,995,360,211,70.3,29.5,69914
132090100,2,,町田市,上小山田町,1182,1037,128,102.6,32.8,121232
132090110,2,,町田市,木曽町,9836,2574,1666,59.8,27.3,588235
13209011090,3,,町田市,木曽町,6240,1978,1144,62.2,27.6,388062
13209011091,3,,町田市,木曽町,3596,596,522,55.7,26.6,200173
132090120,2,,町田市,高ケ坂,4790,2265,1115,73.2,29.8,350766
132090130,2,,町田市,下小山田町,1156,942,128,108.6,35.2,125558
132090141,2,,町田市,真光寺,1905,1190,422,92.2,33,175592
13209014101,3,,町田市,真光寺１丁目,699,581,109,109.3,35,76421
13209014102,3,,町田市,真光寺２丁目,461,243,95,95,32.9,43808
13209014103,3,,町田市,真光寺３丁目,745,366,218,74.3,30.6,55364
132090142,2,,町田市,真光寺町,502,313,163,79.8,31.3,40049
132090150,2,,町田市,図師町,2207,1729,391,92.4,32.1,203821
132090160,2,,町田市,忠生,2888,1318,1133,67.7,29.4,195567
13209016001,3,,町田市,忠生１丁目,656,221,280,62.5,28.6,41027
13209016002,3,,町田市,忠生２丁目,818,603,150,81.8,31.3,66882
13209016003,3,,町田市,忠生３丁目,884,374,430,66,29.2,58386
13209016004,3,,町田市,忠生４丁目,530,120,273,55.2,27,29272
132090170,2,,町田市,玉川学園,7701,4736,2655,85.3,38.7,657234
13209017001,3,,町田市,玉川学園１丁目,1074,684,362,83.9,37.6,90068
13209017002,3,,町田市,玉川学園２丁目,852,455,356,83.2,41,70907
13209017003,3,,町田市,玉川学園３丁目,969,717,129,102.2,41.8,99003
13209017004,3,,町田市,玉川学園４丁目,867,629,215,99.2,40.4,86020
13209017005,3,,町田市,玉川学園５丁目,1294,704,557,78.9,37.9,102107
13209017006,3,,町田市,玉川学園６丁目,172,114,56,81.8,36.4,14065
13209017007,3,,町田市,玉川学園７丁目,1169,659,485,79.4,37.6,92779
13209017008,3,,町田市,玉川学園８丁目,1304,774,495,78.4,36.6,102284
132090180,2,,町田市,つくし野,2388,1907,296,123.5,45.1,294937
13209018001,3,,町田市,つくし野１丁目,729,558,108,119.9,44.4,87376
13209018002,3,,町田市,つくし野２丁目,598,479,71,128.2,45.5,76664
13209018003,3,,町田市,つくし野３丁目,521,440,56,120.9,43.8,62976
13209018004,3,,町田市,つくし野４丁目,540,430,61,125.8,46.7,67922
132090190,2,,町田市,鶴川,6310,3221,1433,68.6,30.7,432764
13209019001,3,,町田市,鶴川１丁目,614,298,299,72.7,35,44631
13209019002,3,,町田市,鶴川２丁目,1213,804,376,69.1,30.2,83822
13209019003,3,,町田市,鶴川３丁目,625,372,217,83.2,36.5,51991
13209019004,3,,町田市,鶴川４丁目,1029,773,240,97.1,41.1,99865
13209019005,3,,町田市,鶴川５丁目,1813,204,188,52,25,94275
13209019006,3,,町田市,鶴川６丁目,1016,770,113,57.3,24.1,58179
132090200,2,,町田市,鶴間,6423,4213,1742,77.5,30.2,497622
13209020000,3,,町田市,鶴間,5631,3662,1568,74.6,29,420296
13209020001,3,,町田市,鶴間１丁目,414,299,97,100.6,39.8,41668
13209020002,3,,町田市,鶴間２丁目,159,144,14,112.4,42.5,17869
13209020003,3,,町田市,鶴間３丁目,219,108,63,81.2,34.5,17789
132090210,2,,町田市,常盤町,1659,1113,504,84.3,32.3,139907
132090220,2,,町田市,中町,4817,1803,2496,59.4,31.2,286218
13209022001,3,,町田市,中町１丁目,1201,671,466,62.5,31.6,75065
13209022002,3,,町田市,中町２丁目,992,347,590,58.1,32.7,57625
13209022003,3,,町田市,中町３丁目,1546,468,923,53.9,29.9,83375
13209022004,3,,町田市,中町４丁目,1078,317,517,65.1,31.1,70152
132090230,2,,町田市,成瀬,5539,2896,1621,84.8,31.6,469754
13209023000,3,,町田市,成瀬,4163,2192,1081,83.3,31.5,346833
13209023001,3,,町田市,成瀬１丁目,515,342,152,99.5,35.9,51260
13209023002,3,,町田市,成瀬２丁目,653,293,348,81.3,30.2,53111
13209023003,3,,町田市,成瀬３丁目,208,69,40,89.2,27,18549
132090240,2,,町田市,成瀬が丘,2049,954,1011,70.5,30.7,144517
13209024001,3,,町田市,成瀬が丘１丁目,561,246,295,74.7,31.1,41882
13209024002,3,,町田市,成瀬が丘２丁目,632,236,375,61.3,30,38752
13209024003,3,,町田市,成瀬が丘３丁目,856,472,341,74.6,30.9,63883
132090250,2,,町田市,成瀬台,2971,2378,524,108.6,39.5,322591
13209025001,3,,町田市,成瀬台１丁目,678,500,163,95,34,64388
13209025002,3,,町田市,成瀬台２丁目,876,581,274,98.2,35.7,86043
13209025003,3,,町田市,成瀬台３丁目,761,691,49,122.1,45.4,92890
13209025004,3,,町田市,成瀬台４丁目,656,606,38,120.8,43.9,79271
132090260,2,,町田市,根岸町,878,520,332,97.9,36,85918
132090270,2,,町田市,能ケ谷町,3558,2354,1113,88.3,35.5,314179
132090280,2,,町田市,野津田町,2547,1941,529,91.2,32.6,232317
132090290,2,,町田市,原町田,6016,3115,2650,60.1,31.4,361546
13209029001,3,,町田市,原町田１丁目,1188,805,331,66.8,31.4,79321
13209029002,3,,町田市,原町田２丁目,1805,846,859,56.9,30.8,102732
13209029003,3,,町田市,原町田３丁目,337,178,146,70.6,33.8,23808
13209029004,3,,町田市,原町田４丁目,1218,815,362,66.7,32.1,81194
13209029005,3,,町田市,原町田５丁目,1103,380,696,50.2,29.9,55414
13209029006,3,,町田市,原町田６丁目,365,91,256,52.3,33.3,19076
132090300,2,,町田市,東玉川学園,1249,1016,173,101.6,37.9,126951
13209030001,3,,町田市,東玉川学園１丁目,587,478,86,105.5,42.5,61912
13209030002,3,,町田市,東玉川学園２丁目,385,347,32,101.3,35.4,38999
13209030003,3,,町田市,東玉川学園３丁目,11,10,-,93.3,27.7,1027
13209030004,3,,町田市,東玉川学園４丁目,266,181,55,94,33.2,25014
132090311,2,,町田市,広袴,927,738,165,107.9,37.8,100050
13209031101,3,,町田市,広袴１丁目,2,2,-,187,93.5,374
13209031102,3,,町田市,広袴２丁目,398,321,69,101.6,38.1,40431
13209031103,3,,町田市,広袴３丁目,500,399,88,112.7,37.7,56339
13209031104,3,,町田市,広袴４丁目,27,16,8,107.6,33,2905
132090312,2,,町田市,広袴町,309,136,159,72.8,31.2,22510
132090320,2,,町田市,本町田,11668,5160,1277,64.9,27.4,757218
13209032090,3,,町田市,本町田,5775,2217,501,62.2,27,359377
13209032091,3,,町田市,本町田,5893,2943,776,67.5,27.8,397842
132090330,2,,町田市,南大谷,3417,1916,961,76.9,32.2,262929
132090340,2,,町田市,南つくし野,1949,1287,536,100.6,37,196061
13209034001,3,,町田市,南つくし野１丁目,335,228,97,104.7,38.8,35058
13209034002,3,,町田市,南つくし野２丁目,722,533,145,109.4,38.1,78992
13209034003,3,,町田市,南つくし野３丁目,443,165,246,65,27.7,28787
13209034004,3,,町田市,南つくし野４丁目,449,361,48,118.5,41.5,53224
132090350,2,,町田市,南成瀬,4498,1801,2187,72.3,29.9,325098
13209035001,3,,町田市,南成瀬１丁目,1170,524,293,73.6,28.8,86095
13209035002,3,,町田市,南成瀬２丁目,598,250,301,76.9,29.4,45957
13209035003,3,,町田市,南成瀬３丁目,455,154,277,65.3,28.1,29690
13209035004,3,,町田市,南成瀬４丁目,473,169,284,70.6,32.6,33414
13209035005,3,,町田市,南成瀬５丁目,794,325,448,73.8,31.5,58593
13209035006,3,,町田市,南成瀬６丁目,562,221,324,73.5,31.3,41308
13209035007,3,,町田市,南成瀬７丁目,320,91,208,62.7,28,20059
13209035008,3,,町田市,南成瀬８丁目,126,67,52,79.2,30.2,9982
132090360,2,,町田市,三輪町,2834,1256,1512,64.5,29.6,182667
132090370,2,,町田市,三輪緑山,1909,1661,210,119.6,41.4,228306
13209037001,3,,町田市,三輪緑山１丁目,735,599,125,103.3,37.7,75907
13209037002,3,,町田市,三輪緑山２丁目,457,429,18,145.3,48.8,66421
13209037003,3,,町田市,三輪緑山３丁目,414,392,11,119.9,41.7,49634
13209037004,3,,町田市,三輪緑山４丁目,303,241,56,119.9,38.3,36343
132090380,2,,町田市,森野,5734,2066,1929,64.4,30.1,369381
13209038001,3,,町田市,森野１丁目,1241,385,314,55.3,27.9,68652
13209038002,3,,町田市,森野２丁目,1549,489,782,56.8,31,87930
13209038003,3,,町田市,森野３丁目,729,480,231,77.9,32.9,56787
13209038004,3,,町田市,森野４丁目,709,230,136,74.1,29.1,52554
