KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
13223,1,,武蔵村山市,,24664,14166,5536,78.4,29.6,1933656
132230010,2,,武蔵村山市,大字三ツ木,-,-,-,-,-,-
132230020,2,,武蔵村山市,大字岸,-,-,-,-,-,-
132230030,2,,武蔵村山市,大南,5136,3249,1610,73.6,29,377965
13223003001,3,,武蔵村山市,大南１丁目,1241,881,349,81.1,30,100650
13223003002,3,,武蔵村山市,大南２丁目,913,623,280,76.8,29.2,70090
13223003003,3,,武蔵村山市,大南３丁目,1462,959,487,72.7,29,106309
13223003004,3,,武蔵村山市,大南４丁目,857,384,294,62.2,27.7,53338
13223003005,3,,武蔵村山市,大南５丁目,663,402,200,71.8,28.1,47579
132230040,2,,武蔵村山市,学園,2262,1185,668,70.6,27.7,159775
13223004001,3,,武蔵村山市,学園１丁目,651,488,155,79.1,26.9,51494
13223004002,3,,武蔵村山市,学園２丁目,495,93,22,55.1,25.3,27299
13223004003,3,,武蔵村山市,学園３丁目,540,275,259,72.1,30.1,38957
13223004004,3,,武蔵村山市,学園４丁目,396,249,134,76.1,29.8,30136
13223004005,3,,武蔵村山市,学園５丁目,180,80,98,66.1,24.9,11890
132230050,2,,武蔵村山市,榎,839,570,256,77.6,29.4,65073
13223005001,3,,武蔵村山市,榎１丁目,11,4,7,78.1,35.8,859
13223005002,3,,武蔵村山市,榎２丁目,516,305,202,74.5,28.8,38420
13223005003,3,,武蔵村山市,榎３丁目,312,261,47,82.7,30.2,25793
132230060,2,,武蔵村山市,伊奈平,1322,999,276,82.8,28.8,109447
13223006001,3,,武蔵村山市,伊奈平１丁目,94,59,16,87.8,32.3,8257
13223006002,3,,武蔵村山市,伊奈平２丁目,21,15,3,124.6,44.4,2617
13223006003,3,,武蔵村山市,伊奈平３丁目,32,13,14,97.6,31.2,3122
13223006004,3,,武蔵村山市,伊奈平４丁目,233,184,46,72.5,25.8,16889
13223006005,3,,武蔵村山市,伊奈平５丁目,562,433,122,83.6,28.5,46959
13223006006,3,,武蔵村山市,伊奈平６丁目,380,295,75,83.2,29.3,31603
132230070,2,,武蔵村山市,残堀,1735,1322,390,87.2,29.3,151210
13223007001,3,,武蔵村山市,残堀１丁目,327,256,67,90.3,31,29515
13223007002,3,,武蔵村山市,残堀２丁目,350,222,124,78.5,27.7,27489
13223007003,3,,武蔵村山市,残堀３丁目,-,-,-,-,-,-
13223007004,3,,武蔵村山市,残堀４丁目,510,388,118,85.5,29.3,43587
13223007005,3,,武蔵村山市,残堀５丁目,548,456,81,92.4,29.3,50619
132230080,2,,武蔵村山市,三ツ藤,1554,1166,368,89.1,32,138438
13223008001,3,,武蔵村山市,三ツ藤１丁目,870,671,184,94.4,35.4,82145
13223008002,3,,武蔵村山市,三ツ藤２丁目,273,188,80,76.3,27.6,20829
13223008003,3,,武蔵村山市,三ツ藤３丁目,411,307,104,86.3,28.4,35464
132230090,2,,武蔵村山市,神明,1150,840,292,86.6,30.8,99624
13223009001,3,,武蔵村山市,神明１丁目,207,137,68,77.1,28.4,15967
13223009002,3,,武蔵村山市,神明２丁目,387,355,28,101.4,33.3,39248
13223009003,3,,武蔵村山市,神明３丁目,255,161,89,87.8,31.1,22387
13223009004,3,,武蔵村山市,神明４丁目,301,187,107,73.2,28.4,22022
132230100,2,,武蔵村山市,中藤,822,691,122,104.3,34.5,85764
13223010001,3,,武蔵村山市,中藤１丁目,162,142,17,103.5,32.8,16762
13223010002,3,,武蔵村山市,中藤２丁目,46,46,-,111.9,34.8,5150
13223010003,3,,武蔵村山市,中藤３丁目,145,135,8,113,35.7,16380
13223010004,3,,武蔵村山市,中藤４丁目,280,221,58,96.5,34.2,27017
13223010005,3,,武蔵村山市,中藤５丁目,189,147,39,108.2,35.4,20455
132230110,2,,武蔵村山市,中央,1078,825,224,97.7,32.7,105373
13223011001,3,,武蔵村山市,中央１丁目,270,203,60,92.4,31.3,24936
13223011002,3,,武蔵村山市,中央２丁目,385,290,78,98.9,32.2,38060
13223011003,3,,武蔵村山市,中央３丁目,301,224,76,96.1,33.5,28914
13223011004,3,,武蔵村山市,中央４丁目,122,108,10,110.4,35,13463
13223011005,3,,武蔵村山市,中央５丁目,-,-,-,-,-,-
132230120,2,,武蔵村山市,本町,1262,904,331,91.3,32.3,115160
13223012001,3,,武蔵村山市,本町１丁目,423,264,146,78.4,29,33184
13223012002,3,,武蔵村山市,本町２丁目,409,307,96,94.6,32,38700
13223012003,3,,武蔵村山市,本町３丁目,174,145,23,110.3,38.8,19186
13223012004,3,,武蔵村山市,本町４丁目,151,103,48,94.5,32.6,14264
13223012005,3,,武蔵村山市,本町５丁目,92,76,14,95.6,34.6,8792
13223012006,3,,武蔵村山市,本町６丁目,13,9,4,79.7,33.4,1036
132230130,2,,武蔵村山市,緑が丘,4028,-,1,51.2,24.5,206181
13223013000,3,,武蔵村山市,緑が丘,3601,-,1,50.8,24.5,182937
13223013001,3,,武蔵村山市,緑が丘,427,-,-,54.4,24.8,23245
132230140,2,,武蔵村山市,三ツ木,1145,890,228,103.5,33.9,118491
13223014001,3,,武蔵村山市,三ツ木１丁目,333,241,88,97.9,33.2,32599
13223014002,3,,武蔵村山市,三ツ木２丁目,293,204,82,91.6,30.6,26847
13223014003,3,,武蔵村山市,三ツ木３丁目,273,237,33,118.2,37.7,32256
13223014004,3,,武蔵村山市,三ツ木４丁目,-,-,-,-,-,-
13223014005,3,,武蔵村山市,三ツ木５丁目,246,208,25,108.9,34.1,26789
132230150,2,,武蔵村山市,岸,1000,551,427,82.7,30.9,82657
13223015001,3,,武蔵村山市,岸１丁目,431,179,245,68.6,28.1,29564
13223015002,3,,武蔵村山市,岸２丁目,190,134,54,103.2,35.4,19605
13223015003,3,,武蔵村山市,岸３丁目,350,209,128,86.8,30.6,30371
13223015004,3,,武蔵村山市,岸４丁目,-,-,-,-,-,-
13223015005,3,,武蔵村山市,岸５丁目,29,29,-,107.5,40.5,3118
132230160,2,,武蔵村山市,中原,1331,974,343,89,30.4,118497
13223016001,3,,武蔵村山市,中原１丁目,319,216,99,78.9,27.1,25175
13223016002,3,,武蔵村山市,中原２丁目,661,514,143,95.7,32.1,63286
13223016003,3,,武蔵村山市,中原３丁目,257,197,56,90.1,31.4,23153
13223016004,3,,武蔵村山市,中原４丁目,94,47,45,73.2,27,6883
13223016005,3,,武蔵村山市,中原５丁目,-,-,-,-,-,-
