KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
14364,1,,山北町,,3912,3402,260,125.4,39.1,490684
143640010,2,,山北町,山北,1288,1094,110,125.6,40.3,161759
14364001000,3,,山北町,山北,1255,1064,107,125,40.4,156847
14364001001,3,,山北町,山北,33,30,3,148.8,37.5,4912
143640020,2,,山北町,向原,938,742,82,115,36.8,107914
143640030,2,,山北町,岸,917,831,53,122.7,37.5,112502
14364003000,3,,山北町,岸,906,828,53,123.2,37.6,111647
14364003001,3,,山北町,岸,11,3,-,77.7,30.5,855
143640040,2,,山北町,平山,162,161,-,133.4,41.9,21615
143640050,2,,山北町,皆瀬川,80,76,3,134,42,10720
143640060,2,,山北町,都夫良野,16,14,2,134.4,74.1,2150
143640070,2,,山北町,谷ケ,105,102,2,149.1,42.3,15655
143640080,2,,山北町,川西,133,124,6,148.8,42.3,19787
143640090,2,,山北町,湯触,29,29,-,153.9,38.8,4462
143640100,2,,山北町,山市場,47,47,-,165.2,43.1,7766
143640110,2,,山北町,神縄,23,23,-,161.6,44.2,3716
143640120,2,@,山北町,神尾田,15,14,-,140.7,30.6,2110
143640130,2,*,山北町,世附,,,,,,
143640140,2,,山北町,中川,112,98,2,125.4,40.2,14042
143640150,2,,山北町,玄倉,47,47,-,138,39.8,6486
