KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
14106,1,,保土ケ谷区,,81837,48551,20812,72.4,30,5920973
141060010,2,,保土ケ谷区,岩井町,2995,1465,1005,64.2,28.5,192369
141060020,2,,保土ケ谷区,瀬戸ケ谷町,2461,1762,502,73.9,29.5,181914
141060030,2,,保土ケ谷区,保土ケ谷町,910,443,419,62.3,30.4,56676
14106003001,3,,保土ケ谷区,保土ケ谷町１丁目,615,249,330,50.1,27,30817
14106003002,3,,保土ケ谷区,保土ケ谷町２丁目,138,81,54,84.9,37.9,11719
14106003003,3,,保土ケ谷区,保土ケ谷町３丁目,157,113,35,90.1,34.2,14139
141060060,2,,保土ケ谷区,狩場町,2705,2240,293,75.5,27.2,204131
141060070,2,,保土ケ谷区,権太坂,3029,2291,419,80.1,29.1,242671
14106007001,3,,保土ケ谷区,権太坂一丁目,1230,977,149,83.2,31.2,102395
14106007002,3,,保土ケ谷区,権太坂二丁目,554,306,170,76.8,28.3,42533
14106007003,3,,保土ケ谷区,権太坂三丁目,1245,1008,100,78.5,27.5,97743
141060100,2,,保土ケ谷区,境木町,252,226,20,106.3,37.9,26781
141060110,2,,保土ケ谷区,境木本町,1409,1094,234,93.9,33.7,132237
141060120,2,,保土ケ谷区,今井町,1888,1474,363,84.6,30,159737
141060130,2,,保土ケ谷区,法泉,2208,1636,201,82.9,30.4,183032
14106013001,3,,保土ケ谷区,法泉一丁目,718,638,66,84,30.2,60342
14106013002,3,,保土ケ谷区,法泉二丁目,682,537,72,88.5,32.1,60347
14106013003,3,,保土ケ谷区,法泉三丁目,808,461,63,77.2,29,62343
141060160,2,,保土ケ谷区,藤塚町,613,499,95,81.3,27.5,49819
141060170,2,,保土ケ谷区,初音ケ丘,1204,872,199,90.1,33.5,108500
141060180,2,,保土ケ谷区,花見台,204,21,13,67.3,27.8,13739
141060190,2,,保土ケ谷区,岩崎町,979,598,147,82.9,30.7,81148
141060200,2,,保土ケ谷区,霞台,992,680,187,85.3,35.2,84633
141060211,2,,保土ケ谷区,桜ケ丘,2244,1417,741,76.5,32.7,171747
14106021101,3,,保土ケ谷区,桜ケ丘一丁目,1012,680,282,83.6,34.2,84615
14106021102,3,,保土ケ谷区,桜ケ丘二丁目,1232,737,459,70.7,31.4,87132
141060220,2,,保土ケ谷区,月見台,1085,741,289,86,35.6,93314
141060230,2,,保土ケ谷区,帷子町,669,408,233,61,29.3,40776
14106023001,3,,保土ケ谷区,帷子町１丁目,288,199,73,64.2,29.1,18488
14106023002,3,,保土ケ谷区,帷子町２丁目,381,209,160,58.5,29.5,22288
141060250,2,,保土ケ谷区,西久保町,2133,864,538,60.9,27.2,129985
141060260,2,,保土ケ谷区,岩間町,812,408,345,59.9,29.3,48657
14106026001,3,,保土ケ谷区,岩間町１丁目,507,281,206,60.2,28.3,30509
14106026002,3,,保土ケ谷区,岩間町２丁目,305,127,139,59.5,31.3,18148
141060280,2,,保土ケ谷区,神戸町,756,512,209,69.9,30.6,52877
141060290,2,,保土ケ谷区,星川,2965,1759,1077,66.3,29.6,196714
14106029001,3,,保土ケ谷区,星川一丁目,1218,755,402,66.7,30.5,81241
14106029002,3,,保土ケ谷区,星川二丁目,696,455,206,76.3,31.5,53131
14106029003,3,,保土ケ谷区,星川三丁目,1051,549,469,59.3,27.3,62342
141060320,2,,保土ケ谷区,明神台,34,21,13,78.8,31.5,2678
141060321,2,,保土ケ谷区,明神台,684,-,-,56.6,28.7,38708
141060330,2,,保土ケ谷区,川辺町,1719,1114,134,64.5,25.3,110801
141060340,2,,保土ケ谷区,天王町,2477,786,798,54.1,27.4,134037
14106034001,3,,保土ケ谷区,天王町１丁目,1107,410,636,55.2,28.8,61159
14106034002,3,,保土ケ谷区,天王町２丁目,1370,376,162,53.2,26.3,72878
141060360,2,,保土ケ谷区,宮田町,1095,649,404,71.1,32.1,77882
14106036001,3,,保土ケ谷区,宮田町１丁目,521,312,183,67.8,30.8,35308
14106036002,3,,保土ケ谷区,宮田町２丁目,380,199,170,69.1,32.3,26263
14106036003,3,,保土ケ谷区,宮田町３丁目,194,138,51,84.1,35.2,16311
141060390,2,,保土ケ谷区,鎌谷町,1834,1241,544,81.8,34.3,150030
141060400,2,,保土ケ谷区,峰沢町,1543,950,324,69.3,29.5,106938
141060410,2,,保土ケ谷区,岡沢町,1554,736,761,66,32.8,102632
141060420,2,,保土ケ谷区,峰岡町,3190,1754,1316,68.3,32.3,217851
14106042001,3,,保土ケ谷区,峰岡町１丁目,976,613,327,70,30.3,68281
14106042002,3,,保土ケ谷区,峰岡町２丁目,1433,805,573,71,33.3,101792
14106042003,3,,保土ケ谷区,峰岡町３丁目,781,336,416,61.2,33.2,47778
141060450,2,,保土ケ谷区,和田,2090,980,1010,58.2,29.4,121541
14106045001,3,,保土ケ谷区,和田一丁目,1116,443,622,53.2,28.8,59362
14106045002,3,,保土ケ谷区,和田二丁目,974,537,388,63.8,30.1,62179
141060470,2,,保土ケ谷区,常盤台,2970,1542,1170,68.6,30.6,203801
141060480,2,,保土ケ谷区,釜台町,1662,907,679,64.3,29.5,106881
141060490,2,,保土ケ谷区,仏向町,5540,3391,1574,72.9,29.5,403758
14106049001,3,,保土ケ谷区,仏向町,3446,1647,1268,67.3,29.4,231980
14106049002,3,,保土ケ谷区,仏向町,2094,1744,306,82,29.5,171778
141060500,2,,保土ケ谷区,坂本町,966,581,327,71,30.8,68555
141060510,2,,保土ケ谷区,上星川,2459,1594,765,74,30.8,181953
14106051001,3,,保土ケ谷区,上星川一丁目,392,211,142,73.9,33.1,28970
14106051002,3,,保土ケ谷区,上星川二丁目,1412,895,474,75.9,30.6,107238
14106051003,3,,保土ケ谷区,上星川三丁目,655,488,149,69.8,30.2,45746
141060520,2,,保土ケ谷区,西谷町,2794,1720,924,73,30.2,203872
141060530,2,,保土ケ谷区,川島町,4072,1469,605,69.5,27.9,283068
14106053001,3,,保土ケ谷区,川島町,2015,1180,510,81,31.4,163137
14106053002,3,,保土ケ谷区,川島町,2057,289,95,58.3,24.3,119931
141060540,2,,保土ケ谷区,東川島町,1732,1144,516,75.7,31,131033
141060550,2,,保土ケ谷区,新井町,2777,1391,308,70.8,29,196547
14106055001,3,,保土ケ谷区,新井町,1923,746,130,63.6,26.7,122360
14106055002,3,,保土ケ谷区,新井町,854,645,178,86.9,33.6,74187
141060560,2,,保土ケ谷区,上菅田町,5618,3054,757,73.6,29.4,413459
14106056001,3,,保土ケ谷区,上菅田町,3571,1576,371,65.8,27.2,235032
14106056002,3,,保土ケ谷区,上菅田町,2047,1478,386,87.2,32.9,178428
141060570,2,,保土ケ谷区,新桜ヶ丘,2514,2117,354,84.9,30.4,213493
14106057001,3,,保土ケ谷区,新桜ヶ丘一丁目,1365,1135,210,88.6,32.8,120874
14106057002,3,,保土ケ谷区,新桜ヶ丘二丁目,1149,982,144,80.6,27.7,92620
