KEY_CODE,HYOSYO,HTKSYU,CITYNAME,NAME,T000055001,T000055002,T000055003,T000055004,T000055005,T000055006
,,,,,住宅に住む一般世帯,持ち家,民営借家,１世帯当たり延面積,１人当たり延面積,総延面積
14362,1,,大井町,,5804,4032,1442,100.5,33.7,583433
143620010,2,,大井町,赤田,63,62,-,151.2,38.4,9525
143620020,2,,大井町,金子,3193,2127,946,94.2,32.3,300714
143620030,2,,大井町,上大井,1110,715,250,94.9,32.5,105316
143620040,2,,大井町,篠窪,73,72,-,162.9,47,11890
143620050,2,,大井町,高尾,18,18,-,155.7,34.6,2802
143620060,2,,大井町,西大井,395,365,22,123.9,38.3,48925
143620070,2,,大井町,柳,32,32,-,156.6,35.3,5012
143620080,2,,大井町,山田,254,231,3,136.7,40,34734
143620090,2,,大井町,金手,666,410,221,96.9,33.9,64515
